id,rep,ms,variant,move,gap_cp,raw_cp_gap,effort_or_depth,iteration_unit,seldepth,pv_plies,nodes,elapsed_ms,fallback,stop,reductions,researches,max_legal_width
2,1,300,tempo,7i7h,0,0,4,effort_steps_4,18,5,148014,300.089,False,time_limit,48892,15,207
2,1,300,baseline,7i7h,0,0,5,plies,13,5,140756,300.099,False,time_limit,0,0,0
2,1,300,history,7i7h,0,0,5,plies,13,5,155708,300.095,False,time_limit,0,0,0
2,1,300,adaptive,7i7h,0,0,4,effort_steps_4,19,5,148374,300.099,False,time_limit,50016,18,207
3,0,1000,blend,P*8f,,27576,4,effort_steps_4,17,6,463509,1000.098,False,time_limit,144171,13,198
3,0,1000,clipped,P*8f,,27576,4,effort_steps_4,17,6,465773,1000.099,False,time_limit,145356,13,198
3,0,1000,tempo,P*8f,,27576,4,effort_steps_4,17,6,438911,1000.115,False,time_limit,135996,12,198
3,0,1000,baseline,P*8f,,27576,5,plies,13,9,459382,1000.105,False,time_limit,0,0,0
3,0,1000,history,P*8f,,27576,5,plies,13,9,492921,1000.103,False,time_limit,2166,0,0
3,0,1000,adaptive,P*8f,,27576,4,effort_steps_4,17,6,466921,1000.098,False,time_limit,145712,13,198
3,1,1000,clipped,P*8f,,27576,4,effort_steps_4,17,6,443106,1000.099,False,time_limit,134748,13,198
3,1,1000,tempo,P*8f,,27576,4,effort_steps_4,17,6,472101,1000.1,False,time_limit,151832,12,198
3,1,1000,baseline,P*8f,,27576,5,plies,13,9,472700,1000.105,False,time_limit,0,0,0
3,1,1000,history,P*8f,,27576,5,plies,13,9,505231,1000.087,False,time_limit,2231,0,0
3,1,1000,adaptive,P*8f,,27576,4,effort_steps_4,17,6,482719,1000.102,False,time_limit,153576,13,198
3,1,1000,blend,P*8f,,27576,4,effort_steps_4,17,6,446698,1000.102,False,time_limit,136498,13,198
3,0,300,blend,P*8f,,27576,3,effort_steps_4,17,4,130254,300.238,False,time_limit,17677,12,198
3,0,300,clipped,P*8f,,27576,3,effort_steps_4,17,4,140678,300.097,False,time_limit,21379,12,198
